service_date,station,hour,passenger_count
2026-08-17,Pasar Seni,7,4200
2026-08-17,Pasar Seni,8,6100
2026-08-17,Pasar Seni,9,4800
2026-08-17,Kelana Jaya,7,2800
2026-08-17,Kelana Jaya,8,3900
2026-08-17,Kelana Jaya,9,3100
2026-08-18,Pasar Seni,7,4300
2026-08-18,Pasar Seni,8,6250
2026-08-18,Pasar Seni,9,4700
2026-08-18,Kelana Jaya,7,2900
2026-08-18,Kelana Jaya,8,4000
2026-08-18,Kelana Jaya,9,3200
2026-08-19,Pasar Seni,7,4100
2026-08-19,Pasar Seni,8,6000
2026-08-19,Pasar Seni,9,4900
2026-08-19,Kelana Jaya,7,2750
2026-08-19,Kelana Jaya,8,3850
2026-08-19,Kelana Jaya,9,3050
