stop_id,stop_name
KJ1,GOMBAK
KJ2,TAMAN MELATI
KJ3,WANGSA MAJU
KJ4,SRI RAMPAI
KJ5,SETIAWANGSA
KJ6,JELATEK
KJ7,DATO' KERAMAT
KJ8,DAMAI
KJ9,AMPANG PARK
KJ10,KLCC
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA
KJ12,DANG WANGI
KJ13,MASJID JAMEK
KJ14,PASAR SENI
KJ15,KL SENTRAL - REDONE
KJ16,BANGSAR - BANK RAKYAT
KJ17,ABDULLAH HUKUM
KJ18,KERINCHI
KJ19,UNIVERSITI
KJ20,TAMAN JAYA
KJ21,ASIA JAYA
KJ22,TAMAN PARAMOUNT
KJ23,TAMAN BAHAGIA
KJ24,KELANA JAYA
KJ25,LEMBAH SUBANG
KJ26,ARA DAMANSARA
KJ27,GLENMARIE
KJ28,SUBANG JAYA
KJ29,SS 15
KJ30,SS 18
KJ31,USJ 7
KJ32,TAIPAN
KJ33,WAWASAN
KJ34,USJ 21
KJ35,ALAM MEGAH
KJ36,SUBANG ALAM
KJ37,PUTRA HEIGHTS
