date,category,station
2025-02-10,delay,KJ22
2025-03-13,disruption,
2025-06-15,disruption,KJ24
2025-07-16,crowding,KJ17
2025-07-24,delay,
2025-07-29,delay,
2025-07-31,disruption,
2025-08-04,delay,
2025-10-03,disruption,
2025-10-26,delay,KJ9
2025-11-09,disruption,
2025-11-14,delay,KJ24
2025-12-14,disruption,KJ9
2026-01-29,delay,
2026-02-19,delay,
2026-02-19,delay,
2026-02-24,delay,
2026-02-26,crowding,
2026-03-30,disruption,
2026-03-31,crowding,KJ14
2026-04-07,disruption,KJ24
2026-04-21,disruption,
2026-05-18,disruption,KJ14
2026-05-18,disruption,
2026-05-18,disruption,KJ24
2026-05-20,delay,KJ22
2026-05-28,disruption,
2026-06-04,crowding,
2026-06-11,crowding,KJ17
2026-06-18,crowding,
2026-06-19,delay,KJ27
2026-06-30,disruption,
2026-07-04,disruption,
2026-07-18,disruption,
2026-07-18,disruption,
2026-07-19,disruption,
2026-07-19,disruption,
2026-07-19,disruption,
2026-07-22,delay,KJ10
2026-07-22,disruption,
2026-07-28,delay,
2026-07-30,disruption,
2026-08-07,disruption,
2026-08-10,disruption,
2026-08-13,disruption,
2026-08-13,disruption,
2026-08-18,delay,
2026-08-18,disruption,KJ24
2026-08-18,disruption,KJ14
2026-08-18,disruption,KJ1
2026-08-18,crowding,
2026-08-19,disruption,KJ37
2026-08-19,disruption,
2026-08-19,disruption,
2026-08-20,disruption,KJ10
2026-08-21,delay,
2026-08-21,disruption,KJ1
2026-08-21,delay,
2026-08-23,disruption,KJ12
2026-08-24,disruption,
2026-08-28,delay,
2026-09-01,crowding,
2026-09-02,delay,
2026-09-03,disruption,
2026-09-08,disruption,KJ24
2026-09-08,disruption,
2026-09-09,disruption,
2026-09-09,disruption,KJ9
2026-09-10,delay,
2026-09-10,disruption,KJ22
2026-09-10,crowding,KJ18
2026-09-10,disruption,KJ18
2026-09-10,delay,KJ13
2026-09-11,delay,KJ24
2026-09-12,disruption,KJ24
2026-09-13,delay,
2026-09-14,delay,KJ24
2026-09-14,disruption,KJ24
2026-09-15,disruption,KJ9
2026-09-15,disruption,
2026-09-15,disruption,KJ24
2026-09-15,crowding,KJ17
2026-09-15,disruption,
2026-09-15,delay,
2026-09-16,delay,
2026-09-16,disruption,
2026-09-16,delay,
2026-09-16,delay,KJ24
2026-09-17,delay,KJ1
2026-09-17,disruption,
2026-09-17,disruption,KJ37
2026-09-17,disruption,
2026-09-17,disruption,KJ24
2026-09-17,disruption,
2026-09-17,disruption,
2026-09-17,delay,KJ32
2026-09-17,disruption,KJ24
2026-09-17,disruption,KJ24
2026-09-17,disruption,
2026-09-17,crowding,KJ4
2026-09-17,delay,
2026-09-17,disruption,KJ15
2026-09-17,delay,KJ4
2026-09-17,crowding,KJ5
2026-09-17,delay,
2026-09-17,disruption,
2026-09-17,disruption,
2026-09-17,delay,KJ4
2026-09-17,crowding,KJ4
2026-09-17,delay,KJ14
2026-09-17,disruption,
2026-09-17,disruption,
2026-09-17,disruption,
2026-09-17,disruption,KJ24
2026-09-17,disruption,
2026-09-17,disruption,KJ24
2026-09-17,disruption,KJ24
2026-09-17,disruption,
2026-09-17,disruption,
2026-09-17,disruption,KJ24
2026-09-17,disruption,
